dataset,difficulty,question,gold_sql,generated_sql,llm_model,generation_latency_seconds,generation_error,execution_error,gold_execution_error,gold_row_count,execution_latency_seconds,correct,correct_lenient,trivial_empty_match
advising,easy,Are there courses worth 3 credits ?,"SELECT DISTINCT COURSEalias0.NAME , COURSEalias0.NUMBER FROM COURSE AS COURSEalias0 WHERE COURSEalias0.CREDITS = 3 AND COURSEalias0.DEPARTMENT = """" ;",SELECT * FROM COURSE WHERE CREDITS = 3;,gpt-4o-mini,1.2800073623657227,,,,0.0,0.12418437004089355,False,False,False
advising,easy,Present me all Professional Biophysics courses of 6 credits .,"SELECT DISTINCT COURSEalias0.DEPARTMENT , COURSEalias0.NAME , COURSEalias0.NUMBER FROM COURSE AS COURSEalias0 WHERE ( COURSEalias0.DESCRIPTION LIKE ""%Professional Biophysics%"" OR COURSEalias0.NAME LIKE ""%Professional Biophysics%"" ) AND COURSEalias0.CREDITS = 6 ;",SELECT * FROM COURSE WHERE DEPARTMENT = 'Professional Biophysics' AND CREDITS = 6;,gpt-4o-mini,0.8475077152252197,,,,0.0,0.006803989410400391,True,True,True
advising,easy,What are the upper elective courses for CS ?,"SELECT DISTINCT COURSEalias0.DEPARTMENT , COURSEalias0.NAME , COURSEalias0.NUMBER FROM COURSE AS COURSEalias0 , PROGRAM_COURSE AS PROGRAM_COURSEalias0 WHERE PROGRAM_COURSEalias0.CATEGORY LIKE ""%ULCS%"" AND PROGRAM_COURSEalias0.COURSE_ID = COURSEalias0.COURSE_ID ;",SELECT c.NAME FROM COURSE c JOIN PROGRAM_COURSE pc ON c.COURSE_ID = pc.course_id WHERE pc.program_id = (SELECT program_id FROM PROGRAM WHERE name LIKE '%CS%') AND c.NUMBER >= 300;,gpt-4o-mini,0.8516991138458252,,,,23.0,0.0014281272888183594,False,False,False
advising,easy,The classes that I took before did any of them consist of Core classes ?,"SELECT DISTINCT COURSEalias0.DEPARTMENT , COURSEalias0.NAME , COURSEalias0.NUMBER FROM COURSE AS COURSEalias0 INNER JOIN STUDENT_RECORD AS STUDENT_RECORDalias0 ON STUDENT_RECORDalias0.COURSE_ID = COURSEalias0.COURSE_ID INNER JOIN PROGRAM_COURSE AS PROGRAM_COURSEalias0 ON STUDENT_RECORDalias0.COURSE_ID = PROGRAM_COURSEalias0.COURSE_ID WHERE PROGRAM_COURSEalias0.CATEGORY LIKE ""%Core%"" AND STUDENT_RECORDalias0.STUDENT_ID = 1 ;",SELECT DISTINCT pc.course_id FROM PROGRAM_COURSE pc JOIN STUDENT_RECORD sr ON pc.course_id = sr.course_id WHERE sr.student_id = ? AND pc.category = 'Core';,gpt-4o-mini,0.8205866813659668,,"(1064, ""You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '? AND pc.category = 'Core'' at line 1"")",,0.0,0.0019981861114501953,False,False,False
advising,easy,Useful courses to take before taking CEE 830 ?,"SELECT DISTINCT COURSEalias0.ADVISORY_REQUIREMENT FROM COURSE AS COURSEalias0 WHERE COURSEalias0.DEPARTMENT = ""CEE"" AND COURSEalias0.NUMBER = 830 ;",SELECT DISTINCT p.course_id FROM COURSE_PREREQUISITE p WHERE p.course_id = (SELECT course_id FROM COURSE WHERE NAME = 'CEE 830');,gpt-4o-mini,1.8997859954833984,,,,1.0,0.0041463375091552734,False,False,False
advising,easy,I have how many credits so far ?,SELECT DISTINCT STUDENTalias0.TOTAL_CREDIT FROM STUDENT AS STUDENTalias0 WHERE STUDENTalias0.STUDENT_ID = 1 ;,SELECT total_credit FROM STUDENT WHERE student_id = [your_student_id];,gpt-4o-mini,1.1143333911895752,,"(1064, ""You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '[your_student_id]' at line 1"")",,1.0,0.001249551773071289,False,False,False
advising,easy,Which courses would be useful to take before taking TCHNCLCM 610 ?,"SELECT DISTINCT COURSEalias0.ADVISORY_REQUIREMENT FROM COURSE AS COURSEalias0 WHERE COURSEalias0.DEPARTMENT = ""TCHNCLCM"" AND COURSEalias0.NUMBER = 610 ;",SELECT DISTINCT p.course_id FROM COURSE_PREREQUISITE p JOIN COURSE c ON p.pre_course_id = c.COURSE_ID WHERE p.course_id = (SELECT COURSE_ID FROM COURSE WHERE NAME = 'TCHNCLCM 610');,gpt-4o-mini,1.0341861248016357,,,,1.0,0.0039997100830078125,False,False,False
advising,easy,"On average , how difficult are the Other classes ?","SELECT AVG( PROGRAM_COURSEalias0.WORKLOAD ) FROM PROGRAM_COURSE AS PROGRAM_COURSEalias0 WHERE PROGRAM_COURSEalias0.CATEGORY LIKE ""%Other%"" ;",SELECT AVG(c.EASINESS_SCORE) FROM COURSE c WHERE c.DEPARTMENT != 'Other';,gpt-4o-mini,0.78818678855896,,,,1.0,0.005036115646362305,False,False,False
advising,easy,"Of the upper-level classes , which ones are 8 credits ?","SELECT DISTINCT COURSEalias0.DEPARTMENT , COURSEalias0.NAME , COURSEalias0.NUMBER FROM COURSE AS COURSEalias0 INNER JOIN PROGRAM_COURSE AS PROGRAM_COURSEalias0 ON PROGRAM_COURSEalias0.COURSE_ID = COURSEalias0.COURSE_ID WHERE COURSEalias0.CREDITS = 8 AND PROGRAM_COURSEalias0.CATEGORY LIKE ""ULCS"" ;",SELECT NAME FROM COURSE WHERE CREDITS = 8 AND NUMBER >= 300;,gpt-4o-mini,0.6992278099060059,,,,0.0,0.006981611251831055,False,False,False
advising,easy,The average difficulty for Other class is ?,"SELECT AVG( PROGRAM_COURSEalias0.WORKLOAD ) FROM PROGRAM_COURSE AS PROGRAM_COURSEalias0 WHERE PROGRAM_COURSEalias0.CATEGORY LIKE ""%Other%"" ;",SELECT AVG(c.EASINESS_SCORE) FROM COURSE c WHERE c.NAME = 'Other';,gpt-4o-mini,0.6705417633056641,,,,1.0,0.004998445510864258,False,False,False
