dataset,difficulty,question,gold_sql,schema_description
advising,easy,Are there courses worth 3 credits ?,"SELECT DISTINCT COURSEalias0.NAME , COURSEalias0.NUMBER FROM COURSE AS COURSEalias0 WHERE COURSEalias0.CREDITS = 3 AND COURSEalias0.DEPARTMENT = """" ;","Table: AREA(course_id, area)
Table: COMMENT_INSTRUCTOR(instructor_id, student_id, score, comment_text)
Table: COURSE(COURSE_ID, NAME, DEPARTMENT, NUMBER, CREDITS, ADVISORY_REQUIREMENT, ENFORCED_REQUIREMENT, DESCRIPTION, NUM_SEMESTERS, NUM_ENROLLED, HAS_DISCUSSION, HAS_LAB, HAS_PROJECTS, HAS_EXAMS, NUM_REVIEWS, CLARITY_SCORE, EASINESS_SCORE, HELPFULNESS_SCORE)
Table: COURSE_OFFERING(OFFERING_ID, COURSE_ID, SEMESTER, SECTION_NUMBER, START_TIME, END_TIME, MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY, SATURDAY, SUNDAY, HAS_FINAL_PROJECT, HAS_FINAL_EXAM, TEXTBOOK, CLASS_ADDRESS, ALLOW_AUDIT)
Table: COURSE_PREREQUISITE(pre_course_id, course_id)
Table: COURSE_TAGS_COUNT(COURSE_ID, CLEAR_GRADING, POP_QUIZ, GROUP_PROJECTS, INSPIRATIONAL, LONG_LECTURES, EXTRA_CREDIT, FEW_TESTS, GOOD_FEEDBACK, TOUGH_TESTS, HEAVY_PAPERS, CARES_FOR_STUDENTS, HEAVY_ASSIGNMENTS, RESPECTED, PARTICIPATION, HEAVY_READING, TOUGH_GRADER, HILARIOUS, WOULD_TAKE_AGAIN, GOOD_LECTURE, NO_SKIP)
Table: GSI(course_offering_id, student_id)
Table: INSTRUCTOR(INSTRUCTOR_ID, NAME, UNIQNAME)
Table: OFFERING_INSTRUCTOR(OFFERING_INSTRUCTOR_ID, OFFERING_ID, INSTRUCTOR_ID)
Table: PROGRAM(program_id, name, college, introduction)
Table: PROGRAM_COURSE(program_id, course_id, workload, category)
Table: PROGRAM_REQUIREMENT(program_id, category, min_credit, additional_req)
Table: SEMESTER(semester_id, semester, year)
Table: STUDENT(student_id, lastname, firstname, program_id, declare_major, total_credit, total_gpa, entered_as, admit_term, predicted_graduation_semester, degree, minor, internship)
Table: STUDENT_RECORD(student_id, course_id, semester, grade, how, transfer_source, earn_credit, repeat_term, test_id, offering_id)

Example:
Question: what courses are related to artificial intelligence
SQL: SELECT DISTINCT c.NAME FROM COURSE c JOIN AREA a ON c.COURSE_ID = a.COURSE_ID WHERE a.AREA LIKE '%artificial intelligence%';"
advising,easy,Present me all Professional Biophysics courses of 6 credits .,"SELECT DISTINCT COURSEalias0.DEPARTMENT , COURSEalias0.NAME , COURSEalias0.NUMBER FROM COURSE AS COURSEalias0 WHERE ( COURSEalias0.DESCRIPTION LIKE ""%Professional Biophysics%"" OR COURSEalias0.NAME LIKE ""%Professional Biophysics%"" ) AND COURSEalias0.CREDITS = 6 ;","Table: AREA(course_id, area)
Table: COMMENT_INSTRUCTOR(instructor_id, student_id, score, comment_text)
Table: COURSE(COURSE_ID, NAME, DEPARTMENT, NUMBER, CREDITS, ADVISORY_REQUIREMENT, ENFORCED_REQUIREMENT, DESCRIPTION, NUM_SEMESTERS, NUM_ENROLLED, HAS_DISCUSSION, HAS_LAB, HAS_PROJECTS, HAS_EXAMS, NUM_REVIEWS, CLARITY_SCORE, EASINESS_SCORE, HELPFULNESS_SCORE)
Table: COURSE_OFFERING(OFFERING_ID, COURSE_ID, SEMESTER, SECTION_NUMBER, START_TIME, END_TIME, MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY, SATURDAY, SUNDAY, HAS_FINAL_PROJECT, HAS_FINAL_EXAM, TEXTBOOK, CLASS_ADDRESS, ALLOW_AUDIT)
Table: COURSE_PREREQUISITE(pre_course_id, course_id)
Table: COURSE_TAGS_COUNT(COURSE_ID, CLEAR_GRADING, POP_QUIZ, GROUP_PROJECTS, INSPIRATIONAL, LONG_LECTURES, EXTRA_CREDIT, FEW_TESTS, GOOD_FEEDBACK, TOUGH_TESTS, HEAVY_PAPERS, CARES_FOR_STUDENTS, HEAVY_ASSIGNMENTS, RESPECTED, PARTICIPATION, HEAVY_READING, TOUGH_GRADER, HILARIOUS, WOULD_TAKE_AGAIN, GOOD_LECTURE, NO_SKIP)
Table: GSI(course_offering_id, student_id)
Table: INSTRUCTOR(INSTRUCTOR_ID, NAME, UNIQNAME)
Table: OFFERING_INSTRUCTOR(OFFERING_INSTRUCTOR_ID, OFFERING_ID, INSTRUCTOR_ID)
Table: PROGRAM(program_id, name, college, introduction)
Table: PROGRAM_COURSE(program_id, course_id, workload, category)
Table: PROGRAM_REQUIREMENT(program_id, category, min_credit, additional_req)
Table: SEMESTER(semester_id, semester, year)
Table: STUDENT(student_id, lastname, firstname, program_id, declare_major, total_credit, total_gpa, entered_as, admit_term, predicted_graduation_semester, degree, minor, internship)
Table: STUDENT_RECORD(student_id, course_id, semester, grade, how, transfer_source, earn_credit, repeat_term, test_id, offering_id)

Example:
Question: what courses are related to artificial intelligence
SQL: SELECT DISTINCT c.NAME FROM COURSE c JOIN AREA a ON c.COURSE_ID = a.COURSE_ID WHERE a.AREA LIKE '%artificial intelligence%';"
advising,easy,What are the upper elective courses for CS ?,"SELECT DISTINCT COURSEalias0.DEPARTMENT , COURSEalias0.NAME , COURSEalias0.NUMBER FROM COURSE AS COURSEalias0 , PROGRAM_COURSE AS PROGRAM_COURSEalias0 WHERE PROGRAM_COURSEalias0.CATEGORY LIKE ""%ULCS%"" AND PROGRAM_COURSEalias0.COURSE_ID = COURSEalias0.COURSE_ID ;","Table: AREA(course_id, area)
Table: COMMENT_INSTRUCTOR(instructor_id, student_id, score, comment_text)
Table: COURSE(COURSE_ID, NAME, DEPARTMENT, NUMBER, CREDITS, ADVISORY_REQUIREMENT, ENFORCED_REQUIREMENT, DESCRIPTION, NUM_SEMESTERS, NUM_ENROLLED, HAS_DISCUSSION, HAS_LAB, HAS_PROJECTS, HAS_EXAMS, NUM_REVIEWS, CLARITY_SCORE, EASINESS_SCORE, HELPFULNESS_SCORE)
Table: COURSE_OFFERING(OFFERING_ID, COURSE_ID, SEMESTER, SECTION_NUMBER, START_TIME, END_TIME, MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY, SATURDAY, SUNDAY, HAS_FINAL_PROJECT, HAS_FINAL_EXAM, TEXTBOOK, CLASS_ADDRESS, ALLOW_AUDIT)
Table: COURSE_PREREQUISITE(pre_course_id, course_id)
Table: COURSE_TAGS_COUNT(COURSE_ID, CLEAR_GRADING, POP_QUIZ, GROUP_PROJECTS, INSPIRATIONAL, LONG_LECTURES, EXTRA_CREDIT, FEW_TESTS, GOOD_FEEDBACK, TOUGH_TESTS, HEAVY_PAPERS, CARES_FOR_STUDENTS, HEAVY_ASSIGNMENTS, RESPECTED, PARTICIPATION, HEAVY_READING, TOUGH_GRADER, HILARIOUS, WOULD_TAKE_AGAIN, GOOD_LECTURE, NO_SKIP)
Table: GSI(course_offering_id, student_id)
Table: INSTRUCTOR(INSTRUCTOR_ID, NAME, UNIQNAME)
Table: OFFERING_INSTRUCTOR(OFFERING_INSTRUCTOR_ID, OFFERING_ID, INSTRUCTOR_ID)
Table: PROGRAM(program_id, name, college, introduction)
Table: PROGRAM_COURSE(program_id, course_id, workload, category)
Table: PROGRAM_REQUIREMENT(program_id, category, min_credit, additional_req)
Table: SEMESTER(semester_id, semester, year)
Table: STUDENT(student_id, lastname, firstname, program_id, declare_major, total_credit, total_gpa, entered_as, admit_term, predicted_graduation_semester, degree, minor, internship)
Table: STUDENT_RECORD(student_id, course_id, semester, grade, how, transfer_source, earn_credit, repeat_term, test_id, offering_id)

Example:
Question: what courses are related to artificial intelligence
SQL: SELECT DISTINCT c.NAME FROM COURSE c JOIN AREA a ON c.COURSE_ID = a.COURSE_ID WHERE a.AREA LIKE '%artificial intelligence%';"
advising,easy,The classes that I took before did any of them consist of Core classes ?,"SELECT DISTINCT COURSEalias0.DEPARTMENT , COURSEalias0.NAME , COURSEalias0.NUMBER FROM COURSE AS COURSEalias0 INNER JOIN STUDENT_RECORD AS STUDENT_RECORDalias0 ON STUDENT_RECORDalias0.COURSE_ID = COURSEalias0.COURSE_ID INNER JOIN PROGRAM_COURSE AS PROGRAM_COURSEalias0 ON STUDENT_RECORDalias0.COURSE_ID = PROGRAM_COURSEalias0.COURSE_ID WHERE PROGRAM_COURSEalias0.CATEGORY LIKE ""%Core%"" AND STUDENT_RECORDalias0.STUDENT_ID = 1 ;","Table: AREA(course_id, area)
Table: COMMENT_INSTRUCTOR(instructor_id, student_id, score, comment_text)
Table: COURSE(COURSE_ID, NAME, DEPARTMENT, NUMBER, CREDITS, ADVISORY_REQUIREMENT, ENFORCED_REQUIREMENT, DESCRIPTION, NUM_SEMESTERS, NUM_ENROLLED, HAS_DISCUSSION, HAS_LAB, HAS_PROJECTS, HAS_EXAMS, NUM_REVIEWS, CLARITY_SCORE, EASINESS_SCORE, HELPFULNESS_SCORE)
Table: COURSE_OFFERING(OFFERING_ID, COURSE_ID, SEMESTER, SECTION_NUMBER, START_TIME, END_TIME, MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY, SATURDAY, SUNDAY, HAS_FINAL_PROJECT, HAS_FINAL_EXAM, TEXTBOOK, CLASS_ADDRESS, ALLOW_AUDIT)
Table: COURSE_PREREQUISITE(pre_course_id, course_id)
Table: COURSE_TAGS_COUNT(COURSE_ID, CLEAR_GRADING, POP_QUIZ, GROUP_PROJECTS, INSPIRATIONAL, LONG_LECTURES, EXTRA_CREDIT, FEW_TESTS, GOOD_FEEDBACK, TOUGH_TESTS, HEAVY_PAPERS, CARES_FOR_STUDENTS, HEAVY_ASSIGNMENTS, RESPECTED, PARTICIPATION, HEAVY_READING, TOUGH_GRADER, HILARIOUS, WOULD_TAKE_AGAIN, GOOD_LECTURE, NO_SKIP)
Table: GSI(course_offering_id, student_id)
Table: INSTRUCTOR(INSTRUCTOR_ID, NAME, UNIQNAME)
Table: OFFERING_INSTRUCTOR(OFFERING_INSTRUCTOR_ID, OFFERING_ID, INSTRUCTOR_ID)
Table: PROGRAM(program_id, name, college, introduction)
Table: PROGRAM_COURSE(program_id, course_id, workload, category)
Table: PROGRAM_REQUIREMENT(program_id, category, min_credit, additional_req)
Table: SEMESTER(semester_id, semester, year)
Table: STUDENT(student_id, lastname, firstname, program_id, declare_major, total_credit, total_gpa, entered_as, admit_term, predicted_graduation_semester, degree, minor, internship)
Table: STUDENT_RECORD(student_id, course_id, semester, grade, how, transfer_source, earn_credit, repeat_term, test_id, offering_id)

Example:
Question: what courses are related to artificial intelligence
SQL: SELECT DISTINCT c.NAME FROM COURSE c JOIN AREA a ON c.COURSE_ID = a.COURSE_ID WHERE a.AREA LIKE '%artificial intelligence%';"
advising,easy,Useful courses to take before taking CEE 830 ?,"SELECT DISTINCT COURSEalias0.ADVISORY_REQUIREMENT FROM COURSE AS COURSEalias0 WHERE COURSEalias0.DEPARTMENT = ""CEE"" AND COURSEalias0.NUMBER = 830 ;","Table: AREA(course_id, area)
Table: COMMENT_INSTRUCTOR(instructor_id, student_id, score, comment_text)
Table: COURSE(COURSE_ID, NAME, DEPARTMENT, NUMBER, CREDITS, ADVISORY_REQUIREMENT, ENFORCED_REQUIREMENT, DESCRIPTION, NUM_SEMESTERS, NUM_ENROLLED, HAS_DISCUSSION, HAS_LAB, HAS_PROJECTS, HAS_EXAMS, NUM_REVIEWS, CLARITY_SCORE, EASINESS_SCORE, HELPFULNESS_SCORE)
Table: COURSE_OFFERING(OFFERING_ID, COURSE_ID, SEMESTER, SECTION_NUMBER, START_TIME, END_TIME, MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY, SATURDAY, SUNDAY, HAS_FINAL_PROJECT, HAS_FINAL_EXAM, TEXTBOOK, CLASS_ADDRESS, ALLOW_AUDIT)
Table: COURSE_PREREQUISITE(pre_course_id, course_id)
Table: COURSE_TAGS_COUNT(COURSE_ID, CLEAR_GRADING, POP_QUIZ, GROUP_PROJECTS, INSPIRATIONAL, LONG_LECTURES, EXTRA_CREDIT, FEW_TESTS, GOOD_FEEDBACK, TOUGH_TESTS, HEAVY_PAPERS, CARES_FOR_STUDENTS, HEAVY_ASSIGNMENTS, RESPECTED, PARTICIPATION, HEAVY_READING, TOUGH_GRADER, HILARIOUS, WOULD_TAKE_AGAIN, GOOD_LECTURE, NO_SKIP)
Table: GSI(course_offering_id, student_id)
Table: INSTRUCTOR(INSTRUCTOR_ID, NAME, UNIQNAME)
Table: OFFERING_INSTRUCTOR(OFFERING_INSTRUCTOR_ID, OFFERING_ID, INSTRUCTOR_ID)
Table: PROGRAM(program_id, name, college, introduction)
Table: PROGRAM_COURSE(program_id, course_id, workload, category)
Table: PROGRAM_REQUIREMENT(program_id, category, min_credit, additional_req)
Table: SEMESTER(semester_id, semester, year)
Table: STUDENT(student_id, lastname, firstname, program_id, declare_major, total_credit, total_gpa, entered_as, admit_term, predicted_graduation_semester, degree, minor, internship)
Table: STUDENT_RECORD(student_id, course_id, semester, grade, how, transfer_source, earn_credit, repeat_term, test_id, offering_id)

Example:
Question: what courses are related to artificial intelligence
SQL: SELECT DISTINCT c.NAME FROM COURSE c JOIN AREA a ON c.COURSE_ID = a.COURSE_ID WHERE a.AREA LIKE '%artificial intelligence%';"
advising,easy,I have how many credits so far ?,SELECT DISTINCT STUDENTalias0.TOTAL_CREDIT FROM STUDENT AS STUDENTalias0 WHERE STUDENTalias0.STUDENT_ID = 1 ;,"Table: AREA(course_id, area)
Table: COMMENT_INSTRUCTOR(instructor_id, student_id, score, comment_text)
Table: COURSE(COURSE_ID, NAME, DEPARTMENT, NUMBER, CREDITS, ADVISORY_REQUIREMENT, ENFORCED_REQUIREMENT, DESCRIPTION, NUM_SEMESTERS, NUM_ENROLLED, HAS_DISCUSSION, HAS_LAB, HAS_PROJECTS, HAS_EXAMS, NUM_REVIEWS, CLARITY_SCORE, EASINESS_SCORE, HELPFULNESS_SCORE)
Table: COURSE_OFFERING(OFFERING_ID, COURSE_ID, SEMESTER, SECTION_NUMBER, START_TIME, END_TIME, MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY, SATURDAY, SUNDAY, HAS_FINAL_PROJECT, HAS_FINAL_EXAM, TEXTBOOK, CLASS_ADDRESS, ALLOW_AUDIT)
Table: COURSE_PREREQUISITE(pre_course_id, course_id)
Table: COURSE_TAGS_COUNT(COURSE_ID, CLEAR_GRADING, POP_QUIZ, GROUP_PROJECTS, INSPIRATIONAL, LONG_LECTURES, EXTRA_CREDIT, FEW_TESTS, GOOD_FEEDBACK, TOUGH_TESTS, HEAVY_PAPERS, CARES_FOR_STUDENTS, HEAVY_ASSIGNMENTS, RESPECTED, PARTICIPATION, HEAVY_READING, TOUGH_GRADER, HILARIOUS, WOULD_TAKE_AGAIN, GOOD_LECTURE, NO_SKIP)
Table: GSI(course_offering_id, student_id)
Table: INSTRUCTOR(INSTRUCTOR_ID, NAME, UNIQNAME)
Table: OFFERING_INSTRUCTOR(OFFERING_INSTRUCTOR_ID, OFFERING_ID, INSTRUCTOR_ID)
Table: PROGRAM(program_id, name, college, introduction)
Table: PROGRAM_COURSE(program_id, course_id, workload, category)
Table: PROGRAM_REQUIREMENT(program_id, category, min_credit, additional_req)
Table: SEMESTER(semester_id, semester, year)
Table: STUDENT(student_id, lastname, firstname, program_id, declare_major, total_credit, total_gpa, entered_as, admit_term, predicted_graduation_semester, degree, minor, internship)
Table: STUDENT_RECORD(student_id, course_id, semester, grade, how, transfer_source, earn_credit, repeat_term, test_id, offering_id)

Example:
Question: what courses are related to artificial intelligence
SQL: SELECT DISTINCT c.NAME FROM COURSE c JOIN AREA a ON c.COURSE_ID = a.COURSE_ID WHERE a.AREA LIKE '%artificial intelligence%';"
advising,easy,Which courses would be useful to take before taking TCHNCLCM 610 ?,"SELECT DISTINCT COURSEalias0.ADVISORY_REQUIREMENT FROM COURSE AS COURSEalias0 WHERE COURSEalias0.DEPARTMENT = ""TCHNCLCM"" AND COURSEalias0.NUMBER = 610 ;","Table: AREA(course_id, area)
Table: COMMENT_INSTRUCTOR(instructor_id, student_id, score, comment_text)
Table: COURSE(COURSE_ID, NAME, DEPARTMENT, NUMBER, CREDITS, ADVISORY_REQUIREMENT, ENFORCED_REQUIREMENT, DESCRIPTION, NUM_SEMESTERS, NUM_ENROLLED, HAS_DISCUSSION, HAS_LAB, HAS_PROJECTS, HAS_EXAMS, NUM_REVIEWS, CLARITY_SCORE, EASINESS_SCORE, HELPFULNESS_SCORE)
Table: COURSE_OFFERING(OFFERING_ID, COURSE_ID, SEMESTER, SECTION_NUMBER, START_TIME, END_TIME, MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY, SATURDAY, SUNDAY, HAS_FINAL_PROJECT, HAS_FINAL_EXAM, TEXTBOOK, CLASS_ADDRESS, ALLOW_AUDIT)
Table: COURSE_PREREQUISITE(pre_course_id, course_id)
Table: COURSE_TAGS_COUNT(COURSE_ID, CLEAR_GRADING, POP_QUIZ, GROUP_PROJECTS, INSPIRATIONAL, LONG_LECTURES, EXTRA_CREDIT, FEW_TESTS, GOOD_FEEDBACK, TOUGH_TESTS, HEAVY_PAPERS, CARES_FOR_STUDENTS, HEAVY_ASSIGNMENTS, RESPECTED, PARTICIPATION, HEAVY_READING, TOUGH_GRADER, HILARIOUS, WOULD_TAKE_AGAIN, GOOD_LECTURE, NO_SKIP)
Table: GSI(course_offering_id, student_id)
Table: INSTRUCTOR(INSTRUCTOR_ID, NAME, UNIQNAME)
Table: OFFERING_INSTRUCTOR(OFFERING_INSTRUCTOR_ID, OFFERING_ID, INSTRUCTOR_ID)
Table: PROGRAM(program_id, name, college, introduction)
Table: PROGRAM_COURSE(program_id, course_id, workload, category)
Table: PROGRAM_REQUIREMENT(program_id, category, min_credit, additional_req)
Table: SEMESTER(semester_id, semester, year)
Table: STUDENT(student_id, lastname, firstname, program_id, declare_major, total_credit, total_gpa, entered_as, admit_term, predicted_graduation_semester, degree, minor, internship)
Table: STUDENT_RECORD(student_id, course_id, semester, grade, how, transfer_source, earn_credit, repeat_term, test_id, offering_id)

Example:
Question: what courses are related to artificial intelligence
SQL: SELECT DISTINCT c.NAME FROM COURSE c JOIN AREA a ON c.COURSE_ID = a.COURSE_ID WHERE a.AREA LIKE '%artificial intelligence%';"
advising,easy,"On average , how difficult are the Other classes ?","SELECT AVG( PROGRAM_COURSEalias0.WORKLOAD ) FROM PROGRAM_COURSE AS PROGRAM_COURSEalias0 WHERE PROGRAM_COURSEalias0.CATEGORY LIKE ""%Other%"" ;","Table: AREA(course_id, area)
Table: COMMENT_INSTRUCTOR(instructor_id, student_id, score, comment_text)
Table: COURSE(COURSE_ID, NAME, DEPARTMENT, NUMBER, CREDITS, ADVISORY_REQUIREMENT, ENFORCED_REQUIREMENT, DESCRIPTION, NUM_SEMESTERS, NUM_ENROLLED, HAS_DISCUSSION, HAS_LAB, HAS_PROJECTS, HAS_EXAMS, NUM_REVIEWS, CLARITY_SCORE, EASINESS_SCORE, HELPFULNESS_SCORE)
Table: COURSE_OFFERING(OFFERING_ID, COURSE_ID, SEMESTER, SECTION_NUMBER, START_TIME, END_TIME, MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY, SATURDAY, SUNDAY, HAS_FINAL_PROJECT, HAS_FINAL_EXAM, TEXTBOOK, CLASS_ADDRESS, ALLOW_AUDIT)
Table: COURSE_PREREQUISITE(pre_course_id, course_id)
Table: COURSE_TAGS_COUNT(COURSE_ID, CLEAR_GRADING, POP_QUIZ, GROUP_PROJECTS, INSPIRATIONAL, LONG_LECTURES, EXTRA_CREDIT, FEW_TESTS, GOOD_FEEDBACK, TOUGH_TESTS, HEAVY_PAPERS, CARES_FOR_STUDENTS, HEAVY_ASSIGNMENTS, RESPECTED, PARTICIPATION, HEAVY_READING, TOUGH_GRADER, HILARIOUS, WOULD_TAKE_AGAIN, GOOD_LECTURE, NO_SKIP)
Table: GSI(course_offering_id, student_id)
Table: INSTRUCTOR(INSTRUCTOR_ID, NAME, UNIQNAME)
Table: OFFERING_INSTRUCTOR(OFFERING_INSTRUCTOR_ID, OFFERING_ID, INSTRUCTOR_ID)
Table: PROGRAM(program_id, name, college, introduction)
Table: PROGRAM_COURSE(program_id, course_id, workload, category)
Table: PROGRAM_REQUIREMENT(program_id, category, min_credit, additional_req)
Table: SEMESTER(semester_id, semester, year)
Table: STUDENT(student_id, lastname, firstname, program_id, declare_major, total_credit, total_gpa, entered_as, admit_term, predicted_graduation_semester, degree, minor, internship)
Table: STUDENT_RECORD(student_id, course_id, semester, grade, how, transfer_source, earn_credit, repeat_term, test_id, offering_id)

Example:
Question: what courses are related to artificial intelligence
SQL: SELECT DISTINCT c.NAME FROM COURSE c JOIN AREA a ON c.COURSE_ID = a.COURSE_ID WHERE a.AREA LIKE '%artificial intelligence%';"
advising,easy,"Of the upper-level classes , which ones are 8 credits ?","SELECT DISTINCT COURSEalias0.DEPARTMENT , COURSEalias0.NAME , COURSEalias0.NUMBER FROM COURSE AS COURSEalias0 INNER JOIN PROGRAM_COURSE AS PROGRAM_COURSEalias0 ON PROGRAM_COURSEalias0.COURSE_ID = COURSEalias0.COURSE_ID WHERE COURSEalias0.CREDITS = 8 AND PROGRAM_COURSEalias0.CATEGORY LIKE ""ULCS"" ;","Table: AREA(course_id, area)
Table: COMMENT_INSTRUCTOR(instructor_id, student_id, score, comment_text)
Table: COURSE(COURSE_ID, NAME, DEPARTMENT, NUMBER, CREDITS, ADVISORY_REQUIREMENT, ENFORCED_REQUIREMENT, DESCRIPTION, NUM_SEMESTERS, NUM_ENROLLED, HAS_DISCUSSION, HAS_LAB, HAS_PROJECTS, HAS_EXAMS, NUM_REVIEWS, CLARITY_SCORE, EASINESS_SCORE, HELPFULNESS_SCORE)
Table: COURSE_OFFERING(OFFERING_ID, COURSE_ID, SEMESTER, SECTION_NUMBER, START_TIME, END_TIME, MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY, SATURDAY, SUNDAY, HAS_FINAL_PROJECT, HAS_FINAL_EXAM, TEXTBOOK, CLASS_ADDRESS, ALLOW_AUDIT)
Table: COURSE_PREREQUISITE(pre_course_id, course_id)
Table: COURSE_TAGS_COUNT(COURSE_ID, CLEAR_GRADING, POP_QUIZ, GROUP_PROJECTS, INSPIRATIONAL, LONG_LECTURES, EXTRA_CREDIT, FEW_TESTS, GOOD_FEEDBACK, TOUGH_TESTS, HEAVY_PAPERS, CARES_FOR_STUDENTS, HEAVY_ASSIGNMENTS, RESPECTED, PARTICIPATION, HEAVY_READING, TOUGH_GRADER, HILARIOUS, WOULD_TAKE_AGAIN, GOOD_LECTURE, NO_SKIP)
Table: GSI(course_offering_id, student_id)
Table: INSTRUCTOR(INSTRUCTOR_ID, NAME, UNIQNAME)
Table: OFFERING_INSTRUCTOR(OFFERING_INSTRUCTOR_ID, OFFERING_ID, INSTRUCTOR_ID)
Table: PROGRAM(program_id, name, college, introduction)
Table: PROGRAM_COURSE(program_id, course_id, workload, category)
Table: PROGRAM_REQUIREMENT(program_id, category, min_credit, additional_req)
Table: SEMESTER(semester_id, semester, year)
Table: STUDENT(student_id, lastname, firstname, program_id, declare_major, total_credit, total_gpa, entered_as, admit_term, predicted_graduation_semester, degree, minor, internship)
Table: STUDENT_RECORD(student_id, course_id, semester, grade, how, transfer_source, earn_credit, repeat_term, test_id, offering_id)

Example:
Question: what courses are related to artificial intelligence
SQL: SELECT DISTINCT c.NAME FROM COURSE c JOIN AREA a ON c.COURSE_ID = a.COURSE_ID WHERE a.AREA LIKE '%artificial intelligence%';"
advising,easy,The average difficulty for Other class is ?,"SELECT AVG( PROGRAM_COURSEalias0.WORKLOAD ) FROM PROGRAM_COURSE AS PROGRAM_COURSEalias0 WHERE PROGRAM_COURSEalias0.CATEGORY LIKE ""%Other%"" ;","Table: AREA(course_id, area)
Table: COMMENT_INSTRUCTOR(instructor_id, student_id, score, comment_text)
Table: COURSE(COURSE_ID, NAME, DEPARTMENT, NUMBER, CREDITS, ADVISORY_REQUIREMENT, ENFORCED_REQUIREMENT, DESCRIPTION, NUM_SEMESTERS, NUM_ENROLLED, HAS_DISCUSSION, HAS_LAB, HAS_PROJECTS, HAS_EXAMS, NUM_REVIEWS, CLARITY_SCORE, EASINESS_SCORE, HELPFULNESS_SCORE)
Table: COURSE_OFFERING(OFFERING_ID, COURSE_ID, SEMESTER, SECTION_NUMBER, START_TIME, END_TIME, MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY, SATURDAY, SUNDAY, HAS_FINAL_PROJECT, HAS_FINAL_EXAM, TEXTBOOK, CLASS_ADDRESS, ALLOW_AUDIT)
Table: COURSE_PREREQUISITE(pre_course_id, course_id)
Table: COURSE_TAGS_COUNT(COURSE_ID, CLEAR_GRADING, POP_QUIZ, GROUP_PROJECTS, INSPIRATIONAL, LONG_LECTURES, EXTRA_CREDIT, FEW_TESTS, GOOD_FEEDBACK, TOUGH_TESTS, HEAVY_PAPERS, CARES_FOR_STUDENTS, HEAVY_ASSIGNMENTS, RESPECTED, PARTICIPATION, HEAVY_READING, TOUGH_GRADER, HILARIOUS, WOULD_TAKE_AGAIN, GOOD_LECTURE, NO_SKIP)
Table: GSI(course_offering_id, student_id)
Table: INSTRUCTOR(INSTRUCTOR_ID, NAME, UNIQNAME)
Table: OFFERING_INSTRUCTOR(OFFERING_INSTRUCTOR_ID, OFFERING_ID, INSTRUCTOR_ID)
Table: PROGRAM(program_id, name, college, introduction)
Table: PROGRAM_COURSE(program_id, course_id, workload, category)
Table: PROGRAM_REQUIREMENT(program_id, category, min_credit, additional_req)
Table: SEMESTER(semester_id, semester, year)
Table: STUDENT(student_id, lastname, firstname, program_id, declare_major, total_credit, total_gpa, entered_as, admit_term, predicted_graduation_semester, degree, minor, internship)
Table: STUDENT_RECORD(student_id, course_id, semester, grade, how, transfer_source, earn_credit, repeat_term, test_id, offering_id)

Example:
Question: what courses are related to artificial intelligence
SQL: SELECT DISTINCT c.NAME FROM COURSE c JOIN AREA a ON c.COURSE_ID = a.COURSE_ID WHERE a.AREA LIKE '%artificial intelligence%';"
