dataset,query_split,question_split,question,gold_sql,difficulty
geography,train,dev,what is the biggest city in arizona,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""arizona"" ) AND CITYalias0.STATE_NAME = ""arizona"" ;",hard
geography,train,dev,what texas city has the largest population,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""texas"" ) AND CITYalias0.STATE_NAME = ""texas"" ;",hard
geography,train,dev,what is the largest city in missouri,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""missouri"" ) AND CITYalias0.STATE_NAME = ""missouri"" ;",hard
geography,train,test,what is the biggest city in kansas,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""kansas"" ) AND CITYalias0.STATE_NAME = ""kansas"" ;",hard
geography,train,test,what is the biggest city in louisiana,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""louisiana"" ) AND CITYalias0.STATE_NAME = ""louisiana"" ;",hard
geography,train,test,what is the largest city in california,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""california"" ) AND CITYalias0.STATE_NAME = ""california"" ;",hard
geography,train,test,what is the largest city in rhode island,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""rhode island"" ) AND CITYalias0.STATE_NAME = ""rhode island"" ;",hard
geography,train,test,where is the most populated area of new mexico,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""new mexico"" ) AND CITYalias0.STATE_NAME = ""new mexico"" ;",hard
geography,train,test,which city in california has the largest population,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""california"" ) AND CITYalias0.STATE_NAME = ""california"" ;",hard
geography,train,train,what is the biggest city in nebraska,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""nebraska"" ) AND CITYalias0.STATE_NAME = ""nebraska"" ;",hard
