dataset,query_split,question_split,question,gold_sql,difficulty
custom_geography,test,test,Which states border a state whose capital population is above the average city population across all states?,SELECT DISTINCT b.STATE_NAME FROM border_info b JOIN state s ON b.BORDER = s.STATE_NAME JOIN city c ON c.CITY_NAME = s.CAPITAL AND c.STATE_NAME = s.STATE_NAME WHERE c.POPULATION > ( SELECT AVG(POPULATION) FROM city ) ;,medium
custom_geography,test,test,"For each state, list the number of cities with population over 100000, but only show states with more than 2 such cities.","SELECT STATE_NAME, COUNT(*) AS big_city_count FROM city WHERE POPULATION > 100000 GROUP BY STATE_NAME HAVING COUNT(*) > 2 ;",medium
custom_geography,test,test,"Which rivers flow through more states than the river with the most states, minus one?",SELECT RIVER_NAME FROM river GROUP BY RIVER_NAME HAVING COUNT(DISTINCT TRAVERSE) >= ( SELECT MAX(state_count) - 1 FROM ( SELECT COUNT(DISTINCT TRAVERSE) AS state_count FROM river GROUP BY RIVER_NAME ) AS counts ) ;,hard
custom_geography,test,test,List states whose area is larger than the average area of states they border.,SELECT s.STATE_NAME FROM state s WHERE s.AREA > ( SELECT AVG(s2.AREA) FROM border_info b JOIN state s2 ON b.BORDER = s2.STATE_NAME WHERE b.STATE_NAME = s.STATE_NAME ) ;,medium
custom_geography,test,test,Find the state with the highest ratio of population to area among states that have at least one mountain.,"SELECT s.STATE_NAME, (s.POPULATION / s.AREA) AS density FROM state s WHERE s.STATE_NAME IN ( SELECT DISTINCT STATE_NAME FROM mountain ) ORDER BY density DESC LIMIT 1 ;",medium
custom_geography,test,test,"Which states have both a lake and a mountain, and border at least 3 other states?",SELECT DISTINCT s.STATE_NAME FROM state s WHERE s.STATE_NAME IN (SELECT STATE_NAME FROM lake) AND s.STATE_NAME IN (SELECT STATE_NAME FROM mountain) AND ( SELECT COUNT(*) FROM border_info b WHERE b.STATE_NAME = s.STATE_NAME ) >= 3 ;,hard
custom_geography,test,test,"For every state, compute the difference between its highest and lowest point elevation, and list the top 5 states with the largest difference.","SELECT STATE_NAME, (HIGHEST_ELEVATION - LOWEST_ELEVATION) AS elevation_range FROM highlow ORDER BY elevation_range DESC LIMIT 5 ;",easy
custom_geography,test,test,"Which cities are the most populous city in their state, and also have a population greater than the state's capital?","SELECT c.CITY_NAME, c.STATE_NAME FROM city c WHERE c.POPULATION = ( SELECT MAX(c2.POPULATION) FROM city c2 WHERE c2.STATE_NAME = c.STATE_NAME ) AND c.POPULATION > ( SELECT cap.POPULATION FROM city cap JOIN state s ON cap.CITY_NAME = s.CAPITAL AND cap.STATE_NAME = s.STATE_NAME WHERE s.STATE_NAME = c.STATE_NAME ) ;",hard
custom_geography,test,test,"List the top 3 states by number of rivers, along with the count, excluding states with zero rivers.","SELECT TRAVERSE AS STATE_NAME, COUNT(*) AS river_count FROM river GROUP BY TRAVERSE ORDER BY river_count DESC LIMIT 3 ;",hard
custom_geography,test,test,Which pairs of neighboring states both have a population density (population/area) above 100?,"SELECT b.STATE_NAME, b.BORDER FROM border_info b JOIN state s1 ON b.STATE_NAME = s1.STATE_NAME JOIN state s2 ON b.BORDER = s2.STATE_NAME WHERE (s1.POPULATION / s1.AREA) > 100 AND (s2.POPULATION / s2.AREA) > 100 ;",easy
custom_geography,test,test,Find states where the tallest mountain is taller than the tallest mountain in every state they border.,SELECT DISTINCT m.STATE_NAME FROM mountain m WHERE m.MOUNTAIN_ALTITUDE > ALL ( SELECT m2.MOUNTAIN_ALTITUDE FROM border_info b JOIN mountain m2 ON b.BORDER = m2.STATE_NAME WHERE b.STATE_NAME = m.STATE_NAME ) ;,medium
custom_geography,test,test,What is the average population of cities in states that do not have any lakes?,SELECT AVG(c.POPULATION) FROM city c WHERE c.STATE_NAME NOT IN ( SELECT DISTINCT STATE_NAME FROM lake ) ;,medium
custom_geography,test,test,"Which state has the most cities with population under 50000, and how many such cities does it have?","SELECT STATE_NAME, COUNT(*) AS small_city_count FROM city WHERE POPULATION < 50000 GROUP BY STATE_NAME ORDER BY small_city_count DESC LIMIT 1 ;",medium
custom_geography,test,test,List states where the capital is NOT the most populous city in that state.,SELECT s.STATE_NAME FROM state s WHERE s.CAPITAL != ( SELECT c.CITY_NAME FROM city c WHERE c.STATE_NAME = s.STATE_NAME ORDER BY c.POPULATION DESC LIMIT 1 ) ;,medium
custom_geography,test,test,Find rivers that traverse a state bordering the state with the largest area (among states that have land borders).,SELECT DISTINCT r.RIVER_NAME FROM river r WHERE r.TRAVERSE IN ( SELECT b.STATE_NAME FROM border_info b WHERE b.BORDER = ( SELECT STATE_NAME FROM state WHERE STATE_NAME IN (SELECT DISTINCT STATE_NAME FROM border_info) ORDER BY AREA DESC LIMIT 1 ) ) ;,medium
