dataset,difficulty,question,gold_sql,generated_sql,llm_model,generation_latency_seconds,generation_error,execution_error,gold_execution_error,execution_latency_seconds,correct,correct_lenient,trivial_empty_match
advising,easy,Are there courses worth 3 credits ?,"SELECT DISTINCT COURSEalias0.NAME , COURSEalias0.NUMBER FROM COURSE AS COURSEalias0 WHERE COURSEalias0.CREDITS = 3 AND COURSEalias0.DEPARTMENT = """" ;",SELECT * FROM COURSE WHERE CREDITS = 3;,Qwen2.5-Coder-7B-Instruct-4bit,1.5904536247253418,,,,0.0985715389251709,False,True,False
advising,easy,Present me all Professional Biophysics courses of 6 credits .,"SELECT DISTINCT COURSEalias0.DEPARTMENT , COURSEalias0.NAME , COURSEalias0.NUMBER FROM COURSE AS COURSEalias0 WHERE ( COURSEalias0.DESCRIPTION LIKE ""%Professional Biophysics%"" OR COURSEalias0.NAME LIKE ""%Professional Biophysics%"" ) AND COURSEalias0.CREDITS = 6 ;",SELECT * FROM COURSE WHERE NAME LIKE '%Professional Biophysics%' AND CREDITS = 6;,Qwen2.5-Coder-7B-Instruct-4bit,2.1272642612457275,,,,0.0074732303619384766,True,True,True
advising,easy,What are the upper elective courses for CS ?,"SELECT DISTINCT COURSEalias0.DEPARTMENT , COURSEalias0.NAME , COURSEalias0.NUMBER FROM COURSE AS COURSEalias0 , PROGRAM_COURSE AS PROGRAM_COURSEalias0 WHERE PROGRAM_COURSEalias0.CATEGORY LIKE ""%ULCS%"" AND PROGRAM_COURSEalias0.COURSE_ID = COURSEalias0.COURSE_ID ;",SELECT DISTINCT c.NAME FROM COURSE c JOIN PROGRAM_COURSE pc ON c.COURSE_ID = pc.COURSE_ID WHERE pc.category = 'upper elective' AND pc.program_id IN (SELECT program_id FROM PROGRAM WHERE name LIKE '%CS%');,Qwen2.5-Coder-7B-Instruct-4bit,3.820425987243652,,,,0.006663322448730469,False,False,False
advising,easy,The classes that I took before did any of them consist of Core classes ?,"SELECT DISTINCT COURSEalias0.DEPARTMENT , COURSEalias0.NAME , COURSEalias0.NUMBER FROM COURSE AS COURSEalias0 INNER JOIN STUDENT_RECORD AS STUDENT_RECORDalias0 ON STUDENT_RECORDalias0.COURSE_ID = COURSEalias0.COURSE_ID INNER JOIN PROGRAM_COURSE AS PROGRAM_COURSEalias0 ON STUDENT_RECORDalias0.COURSE_ID = PROGRAM_COURSEalias0.COURSE_ID WHERE PROGRAM_COURSEalias0.CATEGORY LIKE ""%Core%"" AND STUDENT_RECORDalias0.STUDENT_ID = 1 ;",SELECT COUNT(*) FROM STUDENT_RECORD sr JOIN COURSE c ON sr.course_id = c.course_id WHERE c.category = 'Core' AND sr.student_id IN (SELECT student_id FROM STUDENT_RECORD WHERE semester < (SELECT MIN(semester) FROM STUDENT_RECORD WHERE student_id = sr.student_id));,Qwen2.5-Coder-7B-Instruct-4bit,5.253992319107056,,"(1054, ""Unknown column 'c.category' in 'WHERE'"")",,0.0025005340576171875,False,False,False
advising,easy,Useful courses to take before taking CEE 830 ?,"SELECT DISTINCT COURSEalias0.ADVISORY_REQUIREMENT FROM COURSE AS COURSEalias0 WHERE COURSEalias0.DEPARTMENT = ""CEE"" AND COURSEalias0.NUMBER = 830 ;",SELECT DISTINCT cp.pre_course_id FROM COURSE_PREREQUISITE cp JOIN COURSE c ON cp.course_id = c.COURSE_ID WHERE c.COURSE_ID = 'CEE 830';,Qwen2.5-Coder-7B-Instruct-4bit,8.72915768623352,,,,0.0,False,False,False
advising,easy,I have how many credits so far ?,SELECT DISTINCT STUDENTalias0.TOTAL_CREDIT FROM STUDENT AS STUDENTalias0 WHERE STUDENTalias0.STUDENT_ID = 1 ;,SELECT total_credit FROM STUDENT WHERE student_id = YOUR_STUDENT_ID;,Qwen2.5-Coder-7B-Instruct-4bit,2.014786958694458,,"(1054, ""Unknown column 'YOUR_STUDENT_ID' in 'WHERE'"")",,0.0,False,False,False
advising,easy,Which courses would be useful to take before taking TCHNCLCM 610 ?,"SELECT DISTINCT COURSEalias0.ADVISORY_REQUIREMENT FROM COURSE AS COURSEalias0 WHERE COURSEalias0.DEPARTMENT = ""TCHNCLCM"" AND COURSEalias0.NUMBER = 610 ;",SELECT c2.name FROM course c1 JOIN course_prerequisite cp ON c1.course_id = cp.pre_course_id JOIN course c2 ON cp.course_id = c2.course_id WHERE c1.name = 'TCHNCLCM 610',Qwen2.5-Coder-7B-Instruct-4bit,4.163417816162109,,,,0.013380289077758789,False,False,False
advising,easy,"On average , how difficult are the Other classes ?","SELECT AVG( PROGRAM_COURSEalias0.WORKLOAD ) FROM PROGRAM_COURSE AS PROGRAM_COURSEalias0 WHERE PROGRAM_COURSEalias0.CATEGORY LIKE ""%Other%"" ;",SELECT AVG(EASINESS_SCORE) AS avg_difficulty FROM COURSE ORDER BY department DESC LIMIT 1;,Qwen2.5-Coder-7B-Instruct-4bit,2.1879570484161377,,,,0.006533384323120117,False,False,False
advising,easy,"Of the upper-level classes , which ones are 8 credits ?","SELECT DISTINCT COURSEalias0.DEPARTMENT , COURSEalias0.NAME , COURSEalias0.NUMBER FROM COURSE AS COURSEalias0 INNER JOIN PROGRAM_COURSE AS PROGRAM_COURSEalias0 ON PROGRAM_COURSEalias0.COURSE_ID = COURSEalias0.COURSE_ID WHERE COURSEalias0.CREDITS = 8 AND PROGRAM_COURSEalias0.CATEGORY LIKE ""ULCS"" ;",SELECT NAME FROM COURSE WHERE LEVEL = 'upper' AND CREDITS = 8;,Qwen2.5-Coder-7B-Instruct-4bit,2.0206408500671387,,"(1054, ""Unknown column 'LEVEL' in 'WHERE'"")",,0.0,False,False,False
advising,easy,The average difficulty for Other class is ?,"SELECT AVG( PROGRAM_COURSEalias0.WORKLOAD ) FROM PROGRAM_COURSE AS PROGRAM_COURSEalias0 WHERE PROGRAM_COURSEalias0.CATEGORY LIKE ""%Other%"" ;",SELECT AVG(EASINESS_SCORE) AS avg_difficulty FROM COURSE WHERE NAME LIKE '%Other%',Qwen2.5-Coder-7B-Instruct-4bit,2.304651021957397,,,,0.0,False,False,False
advising,easy,"What are the advisory prerequisites for taking Dante , Petrarca , Boccaccio ?","SELECT DISTINCT COURSEalias0.ADVISORY_REQUIREMENT FROM COURSE AS COURSEalias0 WHERE COURSEalias0.NAME LIKE ""%Dante , Petrarca , Boccaccio%"" ;","SELECT cp.pre_course_id FROM COURSE c JOIN COURSE_PREREQUISITE cp ON c.course_id = cp.course_id WHERE c.name IN ('Dante', 'Petrarca', 'Boccaccio')",Qwen2.5-Coder-7B-Instruct-4bit,3.986116886138916,,,,0.0,True,True,True
advising,easy,What is my GPA at present ?,SELECT DISTINCT STUDENTalias0.TOTAL_GPA FROM STUDENT AS STUDENTalias0 WHERE STUDENTalias0.STUDENT_ID = 1 ;,SELECT total_gpa FROM student WHERE student_id = your_student_id;,Qwen2.5-Coder-7B-Instruct-4bit,1.725337028503418,,"(1054, ""Unknown column 'your_student_id' in 'WHERE'"")",,0.0,False,False,False
advising,easy,Which courses would be helpful to take before taking MILSCI 302 ?,"SELECT DISTINCT COURSEalias0.ADVISORY_REQUIREMENT FROM COURSE AS COURSEalias0 WHERE COURSEalias0.DEPARTMENT = ""MILSCI"" AND COURSEalias0.NUMBER = 302 ;",SELECT c.NAME FROM COURSE c JOIN COURSE_PREREQUISITE cp ON c.COURSE_ID = cp.pre_course_id WHERE cp.course_id = 'MILSCI 302';,Qwen2.5-Coder-7B-Instruct-4bit,3.363685131072998,,,,0.0029981136322021484,False,False,False
advising,easy,"Before taking ROMLANG 498 , which courses would be useful for me ?","SELECT DISTINCT COURSEalias0.ADVISORY_REQUIREMENT FROM COURSE AS COURSEalias0 WHERE COURSEalias0.DEPARTMENT = ""ROMLANG"" AND COURSEalias0.NUMBER = 498 ;",SELECT cp.pre_course_id FROM COURSE_PREREQUISITE cp JOIN COURSE c ON cp.course_id = c.COURSE_ID WHERE c.name = 'ROMLANG 498';,Qwen2.5-Coder-7B-Instruct-4bit,3.5536344051361084,,,,0.004697084426879883,False,False,False
advising,easy,Which courses are useful to take before taking MEDCHEM 528 ?,"SELECT DISTINCT COURSEalias0.ADVISORY_REQUIREMENT FROM COURSE AS COURSEalias0 WHERE COURSEalias0.DEPARTMENT = ""MEDCHEM"" AND COURSEalias0.NUMBER = 528 ;",SELECT DISTINCT c.NAME FROM COURSE c JOIN COURSE_PREREQUISITE cp ON c.COURSE_ID = cp.course_id WHERE cp.pre_course_id = 'MEDCHEM 528';,Qwen2.5-Coder-7B-Instruct-4bit,3.600305795669556,,,,0.0,False,False,False
advising,easy,Can you name courses that would prepare me for taking PHARMACY 562 ?,"SELECT DISTINCT COURSEalias0.ADVISORY_REQUIREMENT FROM COURSE AS COURSEalias0 WHERE COURSEalias0.DEPARTMENT = ""PHARMACY"" AND COURSEalias0.NUMBER = 562 ;",SELECT DISTINCT c.NAME FROM COURSE c JOIN COURSE_PREREQUISITE cp ON c.COURSE_ID = cp.course_id WHERE cp.pre_course_id = 'PHARMACY 562';,Qwen2.5-Coder-7B-Instruct-4bit,3.486067771911621,,,,0.0,False,False,False
advising,easy,How large is course 533 ?,"SELECT DISTINCT COURSEalias0.NUM_ENROLLED FROM COURSE AS COURSEalias0 WHERE COURSEalias0.DEPARTMENT = """" AND COURSEalias0.NUMBER = 533 ;",SELECT num_enrolled FROM COURSE WHERE course_id = 533;,Qwen2.5-Coder-7B-Instruct-4bit,1.9020750522613523,,,,0.0,False,True,False
advising,easy,Are there any advisory prerequisites for Cognition and Environment ?,"SELECT DISTINCT COURSEalias0.ADVISORY_REQUIREMENT FROM COURSE AS COURSEalias0 WHERE COURSEalias0.NAME LIKE ""%Cognition and Environment%"" ;",SELECT * FROM COURSE_PREREQUISITE cp JOIN COURSE c ON cp.course_id = c.course_id WHERE c.name = 'Cognition and Environment';,Qwen2.5-Coder-7B-Instruct-4bit,3.2229466438293457,,,,0.0030548572540283203,False,False,False
advising,easy,"If I take PHARMACY 426 , what classes will I be able to take ?","SELECT DISTINCT COURSEalias0.DEPARTMENT , COURSEalias0.NAME , COURSEalias0.NUMBER FROM COURSE AS COURSEalias0 INNER JOIN COURSE_PREREQUISITE AS COURSE_PREREQUISITEalias0 ON COURSEalias0.COURSE_ID = COURSE_PREREQUISITEalias0.COURSE_ID INNER JOIN COURSE AS COURSEalias1 ON COURSEalias1.COURSE_ID = COURSE_PREREQUISITEalias0.PRE_COURSE_ID WHERE COURSEalias1.DEPARTMENT = ""PHARMACY"" AND COURSEalias1.NUMBER = 426 ;",SELECT DISTINCT c.NAME FROM COURSE c JOIN COURSE_PREREQUISITE cp ON c.COURSE_ID = cp.course_id WHERE cp.pre_course_id = 'PHARMACY 426';,Qwen2.5-Coder-7B-Instruct-4bit,3.6360487937927246,,,,0.0,True,True,True
advising,easy,Which department is Upper-Level Writing in ?,"SELECT DISTINCT COURSEalias0.DEPARTMENT FROM COURSE AS COURSEalias0 WHERE COURSEalias0.NAME LIKE ""%Upper-Level Writing%"" ;",SELECT department FROM COURSE WHERE number BETWEEN 300 AND 499;,Qwen2.5-Coder-7B-Instruct-4bit,2.058357000350952,,,,0.07214164733886719,False,True,False
advising,easy,Can I get 7 credits from taking any of these courses ?,"SELECT DISTINCT COURSEalias0.NAME , COURSEalias0.NUMBER FROM COURSE AS COURSEalias0 WHERE COURSEalias0.CREDITS = 7 AND COURSEalias0.DEPARTMENT = """" ;",SELECT COUNT(*) FROM COURSE WHERE CREDITS >= 7;,Qwen2.5-Coder-7B-Instruct-4bit,1.8108227252960205,,,,0.0,False,True,False
